DL SNR(dB),DL Throughput (Mbps),UL SINR (dB),UL Throughput (Mbps)
0.07306329081197561,-1.5194093198490912,0.45559447581091195,0.11374360893375464
-0.1742454003121607,-1.5217708386666158,-0.9771758371463577,0.11374360893375464
-0.14105996077281777,-1.5115988085494183,0.7693406621185721,0.11374360893375464
-0.045839673194310655,-1.5180597544628216,0.28684482440679065,0.11374360893375464
-0.936743418524854,-1.526492975859053,-0.4620693058406275,0.11374360893375464
0.29500050632740504,-1.523944669224949,0.06938756197247856,0.11374360893375464
0.28582145558674066,-1.5255186609292053,0.3608525813672652,0.11374360893375464
0.24572096015059186,-1.5221831333323161,0.6796867106784471,0.11374360893375464
0.38112401165827353,-1.5149478788032675,0.6482506768567456,0.11374360893375464
0.37732103037921727,-1.5149103843726754,0.7269921609436184,0.11374360893375464
0.13078283185550824,-1.5176098753222598,0.1636736307175085,0.11128087141064219
-1.9230182740822799,-1.908188602437861,0.36936798805000587,0.11374360893375464
0.35297286668001165,-1.5132979977952148,-0.13379465448487463,0.04232420762226761
0.12425837684690506,-1.5239821456466875,0.6652680198390868,0.11374360893375464
0.4743090403291596,-1.5248441033467273,0.4021196713688916,0.11374360893375464
0.5098253632296655,-1.5225954279980243,0.9902739509316785,0.11374360893375464
0.7509915038495021,-1.5106991943391177,0.5830252096147424,0.11374360893375464
-0.7749549421380846,-1.5266803399589073,-0.5570972640672818,0.11374360893375464
0.6500299618044553,-1.5268676860498998,0.42687135704229423,0.11374360893375464
0.21539678169879234,-1.5138979627112608,0.05340796695204023,0.11374360893375464
0.12405438001890251,-1.52735482550597,0.01242571479162708,0.11374360893375464
-0.7037249901141053,-1.5181722197457446,-0.4867797737676503,0.020159565135627704
-0.9889631524863273,-1.5247691505032426,-0.6211486834381772,0.11374360893375464
0.5258171400788281,-1.524281957020619,0.8626803936576846,0.11374360893375464
0.7018711365641435,-1.5291533335724816,0.6814687957265343,0.11374360893375464
-1.1944190092852063,-1.5115238376970876,-1.629349909777057,0.11374360893375464
0.44259971377205215,-1.5197466976890144,0.43186013568936965,0.11374360893375464
-0.20150833591275408,-1.524994009033689,0.0589431626196734,0.11374360893375464
-0.9714711862953063,-1.5277295176879708,-0.4657363117000888,0.020159565135627704
0.7297019074608097,-1.524207004177134,0.9041837630799774,0.11374360893375464
-0.3382985448112194,-1.5304271717346154,-0.5338313984539372,0.11374360893375464
0.198052625981239,-1.5120860740674573,0.27600581300404053,0.020159565135627704
-0.28990385920295103,-1.5234574577334716,-0.2473037387548252,0.020159565135627704
-0.14254075507461283,-1.52844144363908,0.6653104613877463,0.020159565135627704
-0.552517439085892,-1.525930883559498,-0.2296085740518429,0.11374360893375464
0.28597796244411017,-1.5127730037314997,0.6628823841758757,0.11374360893375464
0.21493261220806992,-1.5171974726034445,0.5814896051923432,0.11374360893375464
-0.7950011765451213,-1.5231576103418405,0.1279458185771357,0.11374360893375464
-0.43345729846041225,-1.520458929790615,-0.626980963527884,0.11374360893375464
-1.1858198355270322,-1.531438692953418,0.1405265167156377,0.11374360893375464
-0.8255059382139122,-1.5163351547263597,-0.5042219301862787,0.11374360893375464
0.061513900374805086,-1.5132604853557687,0.34762058720859457,0.10389265764664724
-0.394263067918345,-1.5120979959277159,-1.1099179348923756,-0.03402067112475782
